State,Forest Name,Area (City),Region (Zone),Fire Occurrence,Month,Day,Oxygen,Temperature,Humidity,FFMC,DMC,DC,ISI,RH,Wind
Uttar Pradesh,Hastinapur Wildlife Sanctuary,Meerut,Northern,1,4,19,96,49,65,82,35,420,6,60,17
Haryana,Sultanpur National Park,Gurgaon,Northern,0,9,29,74,30,90,93,456,1880,205,890,14
Andaman and Nicobar Islands,Rani Jhansi Marine National Park,South Andaman,Southern,0,12,24,80,28,85,91,296,1080,125,490,19
Madhya Pradesh,Panna National Park,Panna,Central,0,3,10,94,36,55,85,42,490,8,65,17
Uttarakhand,Askot Wildlife Sanctuary,Pithoragarh,Northern,0,7,20,26,30,65,82,35,420,7,60,4
Rajasthan,Jamwa Ramgarh Wildlife Sanctuary,Jaipur,Northern,1,3,17,95,47,40,93,134,270,44,90,10
Kerala,Periyar National Park,Idukki,Southern,1,1,7,93,50,60,82,35,420,6,70,7
Uttar Pradesh,Hastinapur Wildlife Sanctuary,Meerut,Northern,1,4,19,86,39,65,82,35,420,6,60,22
Nagaland,Intanki National Park,Peren,Eastern,0,7,6,53,13,45,70,48,300,5,60,4
Assam,Kaziranga National Park,"Golaghat, Nagaon, Sonitpur and Biswanath",Eastern,1,5,9,95,41,80,91,186,530,70,220,8
Andaman and Nicobar Islands,North Button Island National Park,North Andaman,Southern,0,2,24,61,29,55,95,420,1700,187,800,19
Karnataka,Bhadra Wildlife Sanctuary,Chikkamagaluru,Southern,1,2,1,85,45,60,88,40,460,7,55,20
Jammu and Kashmir,Hemis National Park,Leh,Northern,0,1,6,38,38,60,91,464,1920,209,910,11
Mizoram,Phawngpui National Park,Lawngtlai,Eastern,1,8,4,94,49,65,88,40,460,7,70,5
Madhya Pradesh,Bandhavgarh National Park,Umaria,Central,1,8,20,95,50,95,95,478,1990,216,945,7
Chhattisgarh,Sitanadi Wildlife Sanctuary,Dhamtari,Central,1,1,1,81,42,30,87,58,340,7,75,9
Andaman and Nicobar Islands,Middle Button Island National Park,North Andaman,Southern,0,4,31,75,33,90,82,70,120,6,20,8
Bihar,Kanwar Lake Bird Sanctuary,Begusarai,Eastern,1,11,69,89,50,20,92,50,380,5,85,24
Nagaland,Intanki National Park,Peren,Eastern,1,3,9,97,47,60,99,374,1470,164,685,5
Tamil Nadu,Mudumalai National Park,Nilgiris,Southern,0,11,29,78,24,60,95,270,950,112,425,24
Goa,Mhadei Wildlife Sanctuary,North Goa,Western,1,4,19,95,44,65,96,446,1830,200,865,24
Gujarat,Vansda National Park,Navsari,Western,0,10,25,73,32,70,98,195,1060,37,205,9
Jharkhand,Betla National Park,Palamu,Eastern,0,11,8,100,13,40,97,342,1310,148,605,6
Kerala,Silent Valley National Park,Palakkad,Southern,1,5,9,81,39,95,90,55,500,9,60,8
Sikkim,Kyongnosla Alpine Sanctuary,East Sikkim,Eastern,0,6,23,82,28,55,99,140,300,47,105,20
Arunachal Pradesh,Kane Wildlife Sanctuary,East Kameng,Eastern,0,6,5,56,33,55,93,308,1140,131,520,23
Haryana,Kalesar National Park,Yamunanagar,Northern,1,10,19,100,45,75,93,76,160,16,30,8
Punjab,Kanjli Wetland,Kapurthala,Northern,0,8,19,51,17,85,99,384,1520,169,710,8
Tamil Nadu,Guindy National Park,Chennai,Southern,1,3,20,89,50,55,78,30,400,7,60,8
Rajasthan,Sariska Tiger Reserve,Alwar,Northern,1,5,17,85,43,78,98,230,870,98,380,14
Madhya Pradesh,Bandhavgarh National Park,Umaria,Central,1,2,19,85,48,25,93,228,740,91,320,4
Goa,Netravali Wildlife Sanctuary,South Goa,Western,0,5,21,91,16,70,97,448,1840,201,870,8
Madhya Pradesh,Panna National Park,Panna,Central,0,7,19,48,24,60,84,40,420,6,65,8
